labels,titles,sources,links,date
video,5G use cases at MWCA,,https://www.youtube.com/watch?v=HwlIDtJ2d4s&list=PL8DOJ3bhk8tS77ZjO6KiEw00PiZeEih_f,18 Dec 2017
video,Everything You Need to Know About 5G,,https://www.youtube.com/watch?v=GEx_d0SjvS0&list=PL8DOJ3bhk8tS77ZjO6KiEw00PiZeEih_f&index=2,6 Feb 2017
video,What Is 5G? & How 5G Will Change The World!,,https://www.youtube.com/watch?v=LhECDSuXRDs&index=3&list=PL8DOJ3bhk8tS77ZjO6KiEw00PiZeEih_f,31 May 2017
video,Ericsson demonstrates 5G use cases with a robotic arm,,https://www.youtube.com/watch?v=PTAlkLtuBAA&index=5&list=PL8DOJ3bhk8tS77ZjO6KiEw00PiZeEih_f,1 Nov 2017
video,Technology and Use Cases for 5G,,https://www.youtube.com/watch?v=tCIE9Tx5zBE&list=PL8DOJ3bhk8tS77ZjO6KiEw00PiZeEih_f&index=7,1 Aug 2016
video,Remote control over mobile networks : the making of a 5G use case demo,,https://www.youtube.com/watch?v=0nl0fuWzoGk&list=PL8DOJ3bhk8tS77ZjO6KiEw00PiZeEih_f&index=8,6 Mar 2015
video,Cradlepoint Talks 5G Developments and Future IoT Use Cases,,https://www.youtube.com/watch?v=ToHu40wY-kA&index=9&list=PL8DOJ3bhk8tS77ZjO6KiEw00PiZeEih_f,15 Jun 2018
video,Verizon's Craig Jackowski Discusses Holographic Calling Over 5G from MWC-A 2018,,https://www.youtube.com/watch?v=jA3Wl-d-PEA&list=PL8DOJ3bhk8tS77ZjO6KiEw00PiZeEih_f&index=11,17 Sep 2018
video,5G-enabled Smart Factory from Ericsson and China Mobile,,https://www.youtube.com/watch?v=0m3Io3_DzKE&list=PL8DOJ3bhk8tS77ZjO6KiEw00PiZeEih_f&index=12,9 Mar 2017
video,Huawei 5G Use Case,,https://www.youtube.com/watch?v=w0pK7Nemznk&list=PL8DOJ3bhk8tS77ZjO6KiEw00PiZeEih_f&index=17,9 Apr 2018
video,How can 5G support massive IoT deployments and new use cases?,,https://www.youtube.com/watch?v=_rKAvQdFIgc&list=PL8DOJ3bhk8tS77ZjO6KiEw00PiZeEih_f&index=19,9 May 2017
video,How 5G and a virtual 3D model can make mining safer and more productive,,https://www.youtube.com/watch?v=xyvQXrSsxI8&list=PL8DOJ3bhk8tS77ZjO6KiEw00PiZeEih_f&index=23,9 Jan 2018
