labels,titles,sources,links,data,images
white_paper,5G Network Architecture - A High-Level Perspective ,Huawei,https://www-file.huawei.com/-/media/corporate/pdf/mbb/5g_nework_architecture_whitepaper_en.pdf?la=en&source=corp_comm,"In the 5G era, a single network infrastructure can meet diversified service requirements. A Cloud-Native E2E network architecture has the following attributes: Provides logically independent ",http://www-file.huawei.com/-/media/corporate/images/industry/mbb-2020/2018/insights-reports/5g_network250-content.png
white_paper,Huawei 5G Wireless  Network Planning  Solution White Paper,Huawei,https://www-file.huawei.com/-/media/CORPORATE/PDF/white%20paper/2018/5g_wireless_network_planing_solution_en.pdf?la=en&source=corp_comm,"With the freezing of the 5G standard, the 5G construction officially began. How to efficiently plan a 5G network is the focus of operators. This white paper provides an in-depth analysis of the ",http://www-file.huawei.com/-/media/corporate/images/industry2018/whitepapers/2018/5g_wireless_network_planning_content.jpg
white_paper,Connected Car on The Road to 5G ,Huawei,https://www-file.huawei.com/-/media/corporate/pdf/x-lab/17-huawei-whitepaper-connected-car-on-the-road-to-5g-v2.pdf?la=en&source=corp_comm,"The automobile industry has demonstrated significant innovation in the past decades, and over the last few years, the combination of vehicles and wireless communications has enabled automobiles ",http://www-file.huawei.com/-/media/corporate/images/industry/x-lab/2018/white-paper-cv/wp-17-content.png
white_paper,Vo5G Technical White Paper ,Huawei,https://www-file.huawei.com/-/media/corporate/pdf/white%20paper/2018/vo5g-technical-white-paper-en-v2.pdf?la=en&source=corp_comm,"Although data services drive 5G evolution, voice/video communication services are still important services of carriers. Like 4G networks, how to provide voice/video communication services must be ",http://www-file.huawei.com/-/media/corporate/images/industry2018/whitepapers/2018/vo5g-wp-cv-en.png
white_paper,GTI 5G and Cloud Robotics White Paper ,Huawei,https://www-file.huawei.com/-/media/corporate/pdf/x-lab/cloud-robotics-white-paper-final-0628.pdf?la=en&source=corp_comm,"Cloud robots are controlled from a “brain” in the cloud. The brain, located in a data center, makes use of Artificial Intelligence and other advanced software technologies to deal with tasks that in ",http://www-file.huawei.com/-/media/corporate/images/industry/mbb-2020/2018/insights-reports/gti-5g-cloud-robotics-wp-content.png
white_paper,Driving increased value from 5G investments ,Huawei,https://www-file.huawei.com/-/media/corporate/pdf/x-lab/2018/cloud_x_driving_increased_value_from_5g_investments.pdf?la=en&source=corp_comm,"Cloud X: Interactive Applications Streamed Over High-Speed Mobile Networks 5G network technology promises to disrupt existing markets, enable new business models and alter the ",http://www-file.huawei.com/-/media/corporate/images/industry2018/innovation/2018/cloudx-5g-content.png
white_paper,5G Applications Market Potential & Readiness Matrix ,Huawei,https://www-file.huawei.com/-/media/corporate/pdf/x-lab/5g-applications-market-potential_readiness-matrix.pdf?la=en&source=corp_comm,5G Applications Market Potential & Readiness Matrix.  Connectivity & Value Added Services Opportunity.,http://www-file.huawei.com/-/media/corporate/images/industry/x-lab/2018/white-paper-cv/readiness-matrix-content.png
white_paper,5G Unlocks A World of Opportunities,Huawei,https://www-file.huawei.com/-/media/corporate/pdf/mbb/5g-unlocks-a-world-of-opportunities-v5.pdf?la=en&source=corp_comm,"5G will connect everything, and benefit all walks of life. It will combine big data, cloud computing, artificial intelligence, and many other innovative technologies to accelerate the arrival of a golden ",http://www-file.huawei.com/-/media/corporate/images/industry/mbb-2020/2018/insights-reports/5g-unlocks-a-world-of-opportunities-content.png
white_paper,White Paper: Sensor-Enriched Humans: Wearables Start to Transform People and Their Lives ,Huawei,https://www-file.huawei.com/-/media/corporate/pdf/x-lab/21-huawei-whitepaper-wearables-open-file-low-res.pdf?la=en&source=corp_comm,A 'wearable' is a type of computer or electronic device that can be worn on one's body. The possibility for wearables to improve many aspects of life as well as their potential to generate,http://www-file.huawei.com/-/media/corporate/images/industry/x-lab/2018/white-paper-cv/wp-21-content.png
white_paper,White Paper: 5G Opening up New Business Opportunities,Huawei,https://www-file.huawei.com/-/media/corporate/pdf/mbb/5g_opening_up_new_business_opportunities_en.pdf?la=en&source=corp_comm,"Society and industry are undergoing a digital transformation, and it is apparent that existing mobile networks will not be able to satisfy future communication needs. New technology is required. ",http://www-file.huawei.com/-/media/corporate/images/industry/mbb-2020/2018/insights-reports/mobile_video_250-content.png
